ID,PID,FP,isFake,MEAN,STD,SKEW,KURT,IET,CM1_R,CM2_R,CM3_R,CM1_G,CM2_G,CM3_G,CM1_B,CM2_B,CM3_B,CFI,BIQ,TIQ,LIQ,ASM,CON,ENT,IDM,FASM,FCON,FENT,FIDM
1,Orginal2010,/content/drive/MyDrive/Major Project/Sample/Orginal/2010.jpg,0,56.669370765996305,22.125140216227162,-0.10855235866088978,-0.3537876818534116,6.403986324145854,58.05538448469919,22.6620996565073,-10.10909755971273,60.90755802841428,22.586992712694222,-12.704604590793377,47.97305103102635,21.162103583578542,7.062097052718491,7.931007306014635,240.53431757016534,13861.124557300203,3546.2666666666664,0.0003781455135098847,228.5778207224601,8.210985706462607,0.10552108412180501,0.0002722220164507731,324.92051222153805,8.434043007629086,0.07630283330000182
2,Orginal1721,/content/drive/MyDrive/Major Project/Sample/Orginal/1721.jpg,0,92.49716494298032,47.37459874406428,0.611294749888026,-0.5242497257558139,7.445612858245559,89.99810996198687,46.31481274112419,39.14091947623125,94.53371275669477,46.61115548773465,39.38066115474519,89.66476247106543,49.75523516034259,42.83819655629627,9.4398095792905,1862.3370396001537,33069.225445639924,10880.086274509806,0.00010071192679097608,1402.5335428656304,9.447527917754561,0.05455455546343756,0.00029935681741066576,351.4334133237064,8.350976136738105,0.0731051625842792
3,Orginal1170,/content/drive/MyDrive/Major Project/Sample/Orginal/1170.jpg,0,74.23406740427701,45.473719472127,1.1691585718672128,1.0515793291539537,7.274308538834513,74.5149822676209,44.784020830377145,46.7016867721596,76.07139671685532,45.271147762448045,47.418798210929914,70.78160504576441,46.332068586046276,49.303514016753056,5.8622767517112875,1441.5220146097654,29870.17273182852,8722.607843137255,0.00012327916253145117,1456.098791649851,9.282932017871937,0.05405355826972155,0.00028111812540794105,337.5819830533677,8.400337881753375,0.07226202832474375
4,Orginal1540,/content/drive/MyDrive/Major Project/Sample/Orginal/1540.jpg,0,54.902057805432264,23.17595148950196,0.6243217211128381,1.2015197379900333,6.508858166281321,55.23154027479878,24.113732073351496,20.562753392647426,59.34101382488479,23.402046934355756,18.875268069932446,46.157212937204015,22.703115239574192,20.99362786056757,8.639225132309841,350.0264667435602,14794.960469456288,4210.011764705882,0.0003759248686500472,310.04844018772945,8.347512507355397,0.11441479207455349,0.00030126267548899276,294.6477521289458,8.322729576028342,0.07910653393864028
5,Orginal1345,/content/drive/MyDrive/Major Project/Sample/Orginal/1345.jpg,0,82.72373590435133,32.66457003839927,0.3987233353492907,-0.004882062611980764,7.045824677665731,85.17861921043131,32.62585090655403,23.726312843467024,85.12726963834442,32.65604214145628,23.75098957950726,76.9952642867761,32.825066893180605,24.74951850042648,6.0123679529762954,1136.9371011149558,28493.62405308267,8828.701960784314,0.00010953407438400976,1226.724542886863,9.280775248165611,0.043445722244918376,0.00026512443139714635,359.50557455031776,8.433279545784295,0.07063785337691915
6,Orginal1190,/content/drive/MyDrive/Major Project/Sample/Orginal/1190.jpg,0,88.15523795366221,37.41545892710605,0.8905971867452114,1.454174035797473,7.1664773687707,93.05536324831702,38.316924778199365,33.66660493307766,91.0958397927329,37.384580239827685,35.05715797056803,80.4456879526004,37.60712049101365,38.620599281452776,11.20318052574368,726.1050057670126,19684.026016768985,6273.607843137255,0.00017475176213185207,679.0048631315182,9.001645319614248,0.08323078653256631,0.0003942889341846689,251.45031748391156,8.0931847971773,0.08304030683752676
7,Orginal2041,/content/drive/MyDrive/Major Project/Sample/Orginal/2041.jpg,0,83.44825755484295,47.669995034471256,0.9006398335249164,0.09972761742496639,7.393528350384498,83.86512773683876,46.65443760641972,44.58093198341466,84.75510204081633,47.18538424389282,45.23058112355109,80.91210261419864,49.27195991155928,48.19090757873562,5.676286433720039,1673.379469434833,33282.02353311818,9971.125490196078,9.874834276991107e-05,1574.4155322899096,9.452010535565115,0.0442177098194593,0.0002684292416190902,356.1274607657851,8.443101206366196,0.07170374165988494
8,Orginal1679,/content/drive/MyDrive/Major Project/Sample/Orginal/1679.jpg,0,85.09917390473359,45.913746247709206,0.8327732349419255,0.3109088540705862,7.41467186851755,85.67652742678757,45.527301473551795,42.09281824286961,86.80532608464821,45.510209627788164,42.28026434352461,81.99252479347618,47.04684362751221,45.30409075252502,5.455006763490218,1584.6298961937714,31501.068492192717,9317.219607843137,9.68009941702441e-05,1500.63738877445,9.440183415118936,0.052294908653756585,0.00024059992541059286,386.38968761281825,8.541189404696716,0.06646115307264461
9,Orginal1587,/content/drive/MyDrive/Major Project/Sample/Orginal/1587.jpg,0,84.82762428592665,51.295842264579996,0.7855526587541825,-0.2725139336916329,7.490884803712966,84.78275181040158,50.866922966590295,46.43829981275119,86.1068614750791,50.79691630701665,46.526599880918226,82.72012571938245,52.71129109094654,49.230931355839914,5.596599385166007,1990.6368166089965,37077.29317628024,9891.019607843136,8.833512388007121e-05,1975.4702796831587,9.562113183972038,0.045303937293635695,0.00023978274253365955,358.8758308734523,8.536439838246137,0.07266636930388687
10,Orginal1502,/content/drive/MyDrive/Major Project/Sample/Orginal/1502.jpg,0,70.5375777782497,45.9253683070981,1.281472839568449,1.199534731318273,7.215587664840061,70.03550723098813,45.46583309073181,48.90465862677383,72.73847395357727,45.465880190292324,49.219964801795975,66.72925736371552,47.221106931091924,51.57857323058139,6.0708931704565146,1308.1923875432526,26452.50328408777,7838.654901960783,0.00017078310356836835,999.6292127673129,9.0523031207172,0.06794204461206506,0.00032248507715716733,316.2686827072139,8.287389626624318,0.07453239050923972
