path,isFake
/content/drive/MyDrive/Major Project/Sample/Orginal/953.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/1050.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/551.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/329.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/381.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/486.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/963.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/511.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/610.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/713.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/682.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/52.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/458.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/184.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/648.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/977.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/141.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/620.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/444.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/339.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/913.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/263.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/1079.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/1063.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/787.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/268.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/359.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/600.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/279.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/711.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/5.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/903.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/743.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/666.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/563.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/174.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/987.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/514.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/28.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/1048.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/403.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/380.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/641.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/1007.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/65.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/881.jpg,0
/content/drive/MyDrive/Major Project/Sample/Orginal/391.jpg,0
